"Nombre","Lat","Lon","var","estacion","mes","pend_decada","p_valor"
"ESQUIÑA","-18,937222219999999","-69,529722219999996","pp","X01502007.5","3",-3.0825361512792,0.598916294778747
"ESQUIÑA","-18,937222219999999","-69,529722219999996","pp","X01502007.5","4",0.442714126807564,0.454686873192975
"ESQUIÑA","-18,937222219999999","-69,529722219999996","pp","X01502007.5","5",0,NA
"ESQUIÑA","-18,937222219999999","-69,529722219999996","pp","X01502007.5","6",0,NA
"ESQUIÑA","-18,937222219999999","-69,529722219999996","pp","X01502007.5","7",-0.270300333704116,1
"ESQUIÑA","-18,937222219999999","-69,529722219999996","pp","X01502007.5","8",-1.75417130144605,0.083311971365352
"ESQUIÑA","-18,937222219999999","-69,529722219999996","pp","X01502007.5","9",-0.0760845383759733,0.298428964599411
"ESQUIÑA","-18,937222219999999","-69,529722219999996","pp","X01502007.5","10",0,NA
"ESQUIÑA","-18,937222219999999","-69,529722219999996","pp","X01502007.5","11",0,NA
"ESQUIÑA","-18,937222219999999","-69,529722219999996","pp","X01502007.5","12",-0.935483870967742,0.120654628008548
"ESQUIÑA","-18,937222219999999","-69,529722219999996","pp","X01502007.5","Anual",7.20129032258065,0.580033205986357
"LA SERENA (ESCUELA AGRICOLA)","-29,908888890000000","-71,256666670000001","pp","X04335002.1","1",-0.0740823136818688,0.34722659763532
"LA SERENA (ESCUELA AGRICOLA)","-29,908888890000000","-71,256666670000001","pp","X04335002.1","2",-0.060734149054505,0.183811793529031
"LA SERENA (ESCUELA AGRICOLA)","-29,908888890000000","-71,256666670000001","pp","X04335002.1","3",-1.43270300333704,0.158388341456174
"LA SERENA (ESCUELA AGRICOLA)","-29,908888890000000","-71,256666670000001","pp","X04335002.1","4",-1.17085650723026,0.00749306479299216
"LA SERENA (ESCUELA AGRICOLA)","-29,908888890000000","-71,256666670000001","pp","X04335002.1","5",2.0420467185762,0.582348536640357
"LA SERENA (ESCUELA AGRICOLA)","-29,908888890000000","-71,256666670000001","pp","X04335002.1","6",-6.07363737486095,0.971526813208778
"LA SERENA (ESCUELA AGRICOLA)","-29,908888890000000","-71,256666670000001","pp","X04335002.1","7",-4.38765294771969,0.244046551058601
"LA SERENA (ESCUELA AGRICOLA)","-29,908888890000000","-71,256666670000001","pp","X04335002.1","8",-5.04015572858732,0.299365928579121
"LA SERENA (ESCUELA AGRICOLA)","-29,908888890000000","-71,256666670000001","pp","X04335002.1","9",-1.28876529477197,0.0967197198188396
"LA SERENA (ESCUELA AGRICOLA)","-29,908888890000000","-71,256666670000001","pp","X04335002.1","10",-0.484093437152391,0.082025650062134
"LA SERENA (ESCUELA AGRICOLA)","-29,908888890000000","-71,256666670000001","pp","X04335002.1","11",-0.142157953281424,0.520963394558938
"LA SERENA (ESCUELA AGRICOLA)","-29,908888890000000","-71,256666670000001","pp","X04335002.1","12",0,NA
"LA SERENA (ESCUELA AGRICOLA)","-29,908888890000000","-71,256666670000001","pp","X04335002.1","Anual",-18.1127919911012,0.211711831941242
"LOS VILOS DMC","-31,914722220000002","-71,510000000000005","pp","X04820001.K","1",0.0398220244716352,0.933796393735009
"LOS VILOS DMC","-31,914722220000002","-71,510000000000005","pp","X04820001.K","2",0,NA
"LOS VILOS DMC","-31,914722220000002","-71,510000000000005","pp","X04820001.K","3",-1.31835372636262,0.319602307930811
"LOS VILOS DMC","-31,914722220000002","-71,510000000000005","pp","X04820001.K","4",-3.96484983314794,0.0135753335701216
