"","Nombre","Lat","Lon","est","indicador","unidad","periodo","pendiente","p_valor"
"190","MALALCAHUELLO",-38.47083333,-71.57111111,"X09120003.1","MaxTmax","�C_decada","Verano",1.21330049261084,0.00360371171486253
"191","PUERTO SAAVEDRA",-38.79305556,-73.39583333,"X09153001.5","MaxTmax","�C_decada","Anual",-1.45027808676307,0.123706600810242
"192","PUERTO SAAVEDRA",-38.79305556,-73.39583333,"X09153001.5","MaxTmax","�C_decada","Otono",-0.447219132369298,0.530877231529624
"193","PUERTO SAAVEDRA",-38.79305556,-73.39583333,"X09153001.5","MaxTmax","�C_decada","Invierno",-1.45672969966629,3.73692751004035e-05
"194","PUERTO SAAVEDRA",-38.79305556,-73.39583333,"X09153001.5","MaxTmax","�C_decada","Primavera",-1.40645161290322,0.01199881423751
"195","PUERTO SAAVEDRA",-38.79305556,-73.39583333,"X09153001.5","MaxTmax","�C_decada","Verano",-0.601970443349753,0.486679273227472
"196","TRICAUCO",-38.84388889,-71.55138889,"X09401001.2","MaxTmax","�C_decada","Anual",-0.893437152391548,0.928764168520542
"197","TRICAUCO",-38.84388889,-71.55138889,"X09401001.2","MaxTmax","�C_decada","Otono",-0.371078976640707,0.857952683284286
"198","TRICAUCO",-38.84388889,-71.55138889,"X09401001.2","MaxTmax","�C_decada","Invierno",-1.26262513904338,0.137924954740153
"199","TRICAUCO",-38.84388889,-71.55138889,"X09401001.2","MaxTmax","�C_decada","Primavera",-1.06651835372636,0.603826178968424
